2026-07-13 02:21:01 Engine: started at phase 'mine'
2026-07-17 10:11:57 MinePhase: Lost track of vein or depleted. Finding new vein.
2026-07-17 10:11:57 MinePhase: Found new vein at [1307, 713]
2026-07-17 10:11:58 MinePhase: Initial click to walk to vein at [1307, 713] (vein at [1307, 713])
2026-07-17 10:11:59 MinePhase: Clicked stable vein at [1265, 713] (vein at [1265, 713])
2026-07-17 10:12:01 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:03 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:05 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:06 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:08 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:10 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:11 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:13 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:15 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:17 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:18 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:20 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:22 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:23 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:25 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:27 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:29 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:30 MinePhase: Clicked stable vein at [1357, 713] (vein at [1357, 713])
2026-07-17 10:12:33 MinePhase: Clicked stable vein at [1267, 713] (vein at [1267, 713])
2026-07-17 10:12:34 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:36 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:38 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:39 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:41 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:43 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:45 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:46 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:48 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:50 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:51 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:53 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
2026-07-17 10:12:55 MinePhase: Clicked stable vein at [1259, 713] (vein at [1259, 713])
