2026-07-21 19:01:08 [crafting] Esc pressed - exiting
2026-07-21 19:01:13 [crafting] Crafting started
2026-07-21 19:01:13 [crafting] Craft: waiting for start-craft marker
2026-07-21 19:01:13 [crafting] FindFilledBlock: found at 16,683 (33x33 0xFF0000 tol=5, 15 ms)
2026-07-21 19:01:13 [crafting] Craft: clicking start-craft marker at 16,683
2026-07-21 19:01:21 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 15 ms)
2026-07-21 19:01:21 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 0 ms)
2026-07-21 19:01:21 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 0 ms)
2026-07-21 19:01:21 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 0 ms)
2026-07-21 19:01:22 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 0 ms)
2026-07-21 19:01:22 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 0 ms)
2026-07-21 19:01:22 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 0 ms)
2026-07-21 19:01:22 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 0 ms)
2026-07-21 19:01:22 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 19:01:23 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 15 ms)
2026-07-21 19:01:23 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 19:01:23 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 15 ms)
2026-07-21 19:01:23 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 19:01:23 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 15 ms)
2026-07-21 19:01:24 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 15 ms)
2026-07-21 19:01:24 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 0 ms)
2026-07-21 19:01:24 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 15 ms)
2026-07-21 19:01:24 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 0 ms)
2026-07-21 19:01:24 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 0 ms)
2026-07-21 19:01:24 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 15 ms)
2026-07-21 19:01:25 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 0 ms)
2026-07-21 19:01:25 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 15 ms)
2026-07-21 19:01:25 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 19:01:25 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 15 ms)
2026-07-21 19:01:25 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 19:01:26 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 15 ms)
2026-07-21 19:01:26 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 19:01:26 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 15 ms)
2026-07-21 19:01:26 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 19:01:26 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 15 ms)
2026-07-21 19:01:26 [crafting] FindImage: found at 1434,680 (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\craft-marker-2.png, 16 ms)
2026-07-21 19:01:26 [crafting] Craft: waiting for slot 27 to empty
2026-07-21 19:01:50 [crafting] Craft: waiting for deposit-side marker
2026-07-21 19:01:50 [crafting] FindFilledBlock: found at 2445,611 (33x33 0x00FF00 tol=5, 0 ms)
2026-07-21 19:01:50 [crafting] Craft: clicking deposit-side marker at 2445,611
2026-07-21 19:01:50 [crafting] Craft: waiting for deposit-inventory button
2026-07-21 19:01:50 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
2026-07-21 19:01:50 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 16 ms)
2026-07-21 19:01:51 [crafting] FindImage: not found (C:\Users\link\Documents\GitHub\osrs-automation\Bots\..\Images\deposit-default.png, 15 ms)
